**********************************
LOGGING TIME: 20181014_235445
CLIENT IP: 192.168.56.1
USERNAME: user-pc
OS: Windows 10
*********************Neutral database**********************************
MM, 28, 23, 1537598292301
MM, 28, 8, 10
MM, 123, 62, 20
MM, 118, 42, 11
MM, 118, 18, 9
MM, 118, 7, 10
MC, 1, 27735
MC, 1, 1507
MM, 319, 0, 11867
MM, 317, 4, 10
MM, 313, 6, 10
MM, 311, 8, 11
MM, 310, 9, 9
MM, 309, 11, 10
MM, 308, 11, 10
MM, 308, 12, 10
MM, 307, 13, 10
MM, 306, 13, 10
MM, 306, 14, 10
MM, 305, 15, 10
MM, 305, 16, 31
MM, 302, 18, 30
MM, 302, 17, 220
MM, 302, 18, 10
MC, 1, 190
MM, 300, 18, 1712
MM, 298, 19, 21
MM, 297, 19, 10
MM, 296, 20, 19
MM, 295, 21, 10
MM, 292, 21, 10
MM, 290, 22, 10
MM, 289, 22, 11
MM, 288, 23, 9
MM, 286, 24, 10
MM, 285, 25, 10
MM, 282, 28, 11
MM, 278, 30, 10
MM, 272, 33, 10
MM, 265, 38, 10
MM, 259, 42, 10
MM, 253, 50, 11
MM, 248, 52, 9
MM, 243, 53, 10
MM, 237, 54, 10
MM, 235, 56, 10
MM, 231, 58, 11
MM, 230, 58, 9
MM, 224, 58, 261
MM, 218, 58, 10
MM, 207, 58, 10
MM, 37, 2, 61
MM, 31, 4, 10
MM, 24, 8, 10
MM, 18, 11, 10
MM, 14, 13, 10
MM, 11, 13, 10
MM, 9, 13, 10
MM, 8, 15, 10
MM, 6, 15, 10
MM, 5, 15, 20
MM, 4, 15, 71
MM, 3, 15, 30
MM, 2, 16, 10
MM, 1, 16, 10
MM, 0, 16, 50
MM, 41, 16, 71
MM, 39, 16, 9
MM, 37, 16, 10
MM, 34, 16, 10
MM, 31, 16, 11
MM, 29, 15, 10
MM, 26, 15, 10
MM, 25, 14, 10
MM, 23, 14, 10
MM, 21, 14, 10
MM, 19, 14, 10
MM, 18, 14, 10
MM, 17, 14, 9
MM, 14, 14, 11
MM, 13, 14, 10
MM, 12, 14, 10
MM, 11, 14, 10
MM, 9, 14, 10
MM, 8, 14, 10
MM, 7, 14, 11
MM, 6, 14, 10
MM, 4, 15, 9
MM, 3, 16, 10
MM, 2, 16, 21
MM, 1, 17, 20
MM, 0, 17, 10
MM, 43, 19, 80
MM, 41, 20, 20
MM, 40, 20, 20
MM, 39, 20, 10
MM, 38, 20, 10
MM, 37, 20, 31
MM, 36, 20, 29
MM, 35, 20, 21
MM, 34, 20, 21
MM, 33, 20, 9
MM, 31, 20, 50
