**********************************
LOGGING TIME: 20181006_002215
CLIENT IP: 192.168.56.1
USERNAME: user-pc
OS: Windows 10
*********************Neutral database**********************************
MM, 13, 22, 1537598292592
MM, 72, 49, 11
MM, 50, 30, 2587
MM, 48, 28, 10
MM, 46, 28, 10
MM, 43, 26, 10
MM, 41, 25, 11
MM, 39, 24, 20
MM, 38, 23, 10
MM, 37, 23, 30
MM, 37, 22, 60
MM, 37, 21, 51
MM, 36, 21, 10
MM, 34, 17, 231
MC, 1, 441
MM, 41, 17, 2913
MM, 50, 17, 9
MM, 71, 20, 11
MM, 85, 25, 10
MM, 98, 27, 10
MC, 1, 4815
MC, 1, 23846
MM, 212, 3, 2823
MM, 206, 7, 11
MM, 201, 10, 9
MM, 197, 13, 11
MM, 192, 14, 9
MM, 188, 16, 11
MM, 186, 17, 9
MM, 182, 17, 10
MM, 177, 21, 10
MM, 171, 21, 10
MM, 168, 22, 11
MM, 165, 23, 9
MM, 163, 23, 11
MM, 162, 23, 9
MM, 160, 23, 11
MM, 159, 23, 20
MM, 158, 24, 151
MM, 157, 24, 2703
MM, 156, 24, 10
MM, 153, 26, 10
MM, 151, 26, 10
MM, 148, 26, 10
MM, 146, 26, 11
MM, 144, 27, 9
MM, 141, 27, 11
MM, 139, 28, 10
MM, 137, 28, 10
MM, 136, 28, 9
MM, 135, 27, 10
MC, 1, 93
MM, 135, 28, 68
MM, 133, 30, 10
MM, 130, 34, 10
MM, 123, 42, 10
MM, 118, 49, 10
MM, 114, 54, 10
MM, 106, 62, 11
MM, 35, 0, 250
MM, 34, 0, 11
MM, 33, 2, 10
MM, 32, 2, 10
MM, 31, 4, 10
MM, 30, 4, 21
MM, 30, 5, 9
MM, 29, 5, 10
MM, 29, 6, 20
MC, 1, 82
MM, 29, 7, 89
MM, 30, 7, 10
MM, 32, 7, 10
MM, 38, 7, 10
MM, 42, 7, 10
MM, 8, 7, 20
MM, 21, 7, 10
MM, 33, 6, 11
MC, 1, 673
MM, 32, 8, 130
MM, 26, 16, 10
MM, 22, 26, 10
MM, 43, 14, 20
MM, 41, 27, 10
MM, 42, 0, 31
MM, 41, 1, 10
MM, 40, 3, 9
MM, 41, 3, 161
MM, 42, 3, 20
MM, 43, 3, 11
MM, 0, 4, 70
MM, 1, 4, 10
MM, 3, 4, 10
MM, 4, 4, 20
MM, 5, 4, 10
MM, 6, 4, 10
MM, 7, 4, 10
MM, 8, 4, 10
MM, 10, 6, 31
MM, 10, 7, 10
MM, 11, 7, 10
MM, 11, 8, 9
MM, 7, 10, 312
MM, 5, 10, 10
MM, 0, 12, 10
MM, 43, 14, 10
MM, 25, 21, 10
MM, 204, 4, 31
MM, 187, 9, 9
MM, 172, 17, 10
MM, 153, 22, 11
MM, 134, 32, 9
MM, 125, 35, 10
MM, 118, 37, 10
MM, 111, 38, 10
MM, 108, 38, 10
MM, 101, 41, 10
MM, 97, 41, 10
MM, 94, 41, 11
MM, 92, 41, 10
MM, 90, 41, 10
MM, 89, 41, 10
MM, 88, 41, 10
MM, 87, 41, 21
MM, 86, 41, 29
MM, 85, 41, 80
MM, 85, 40, 30
MC, 1, 173
MM, 85, 39, 9
MM, 85, 37, 9
