**********************************
LOGGING TIME: 20161111_170629
CLIENT IP: 10.117.7.42
USERNAME: Renu
OS: Windows 10
*********************Neutral database**********************************
MM, 136, 43, 1477468844750
MM, 141, 18, 344
MM, 140, 8, 12
MM, 129, 14, 36
MM, 125, 3, 12
MM, 123, 0, 12
MM, 8, 17, 377
MM, 9, 17, 12
MM, 10, 16, 12
MM, 10, 15, 12
MM, 11, 15, 12
MM, 11, 14, 49
MM, 11, 12, 36
MM, 11, 11, 13
MM, 10, 11, 11
MM, 10, 9, 13
MM, 9, 8, 24
MM, 8, 8, 49
MC, 1, 399
MM, 9, 8, 462
MM, 11, 11, 13
MM, 16, 16, 12
MM, 107, 2, 48
MM, 108, 10, 13
MM, 112, 21, 12
MM, 117, 0, 36
MM, 117, 4, 12
MM, 117, 6, 12
MM, 114, 6, 61
MM, 109, 6, 12
MM, 101, 5, 12
MM, 90, 3, 12
MM, 63, 28, 98
MM, 76, 7, 97
MM, 106, 2, 376
MM, 106, 10, 13
MM, 106, 16, 12
MM, 106, 23, 11
MM, 106, 24, 13
MM, 106, 25, 24
MC, 1, 521
MM, 105, 31, 62
MM, 102, 44, 12
MM, 100, 57, 12
MM, 6, 6, 36
MM, 8, 17, 13
MM, 11, 23, 11
MM, 16, 31, 13
MC, 1, 486
MM, 14, 29, 267
MM, 7, 28, 12
MM, 41, 29, 12
MM, 19, 29, 12
MM, 10, 29, 61
MM, 10, 21, 12
MM, 16, 8, 12
MM, 82, 26, 24
MM, 310, 12, 1360
MM, 310, 37, 12
MM, 310, 46, 12
MM, 313, 51, 13
MM, 311, 51, 181
MM, 304, 52, 13
MM, 289, 54, 12
MC, 1, 596
MM, 6, 3, 96
MM, 27, 13, 12
MM, 37, 24, 12
MM, 43, 28, 12
MM, 1, 0, 37
MM, 4, 2, 12
MM, 4, 3, 12
MM, 5, 3, 12
MM, 6, 3, 12
MM, 7, 3, 25
MM, 7, 4, 24
MM, 8, 5, 121
MM, 9, 6, 13
MM, 9, 7, 24
MM, 10, 7, 24
MM, 11, 10, 12
MM, 12, 11, 13
MM, 12, 14, 12
MM, 12, 16, 24
MM, 12, 15, 48
MC, 1, 74
MM, 15, 12, 35
MM, 18, 7, 13
MM, 43, 19, 24
MM, 1, 8, 12
MM, 20, 23, 25
MM, 20, 16, 12
MM, 22, 16, 12
MM, 22, 14, 12
MM, 23, 14, 12
MM, 24, 14, 12
MM, 25, 14, 24
MM, 25, 12, 61
MM, 25, 11, 36
MC, 1, 171
MM, 25, 12, 48
MM, 25, 13, 12
MM, 25, 16, 12
MM, 25, 18, 25
MM, 27, 20, 24
MM, 30, 23, 12
MM, 32, 23, 12
MM, 34, 24, 12
MM, 34, 26, 12
MM, 37, 27, 13
MM, 38, 27, 12
MM, 40, 28, 12
MM, 42, 30, 12
MM, 43, 31, 12
MM, 0, 0, 73
MM, 1, 0, 12
MM, 2, 0, 12
MM, 3, 1, 12
MM, 4, 1, 122
MM, 5, 3, 12
MM, 7, 5, 24
MM, 7, 6, 37
MM, 8, 6, 24
MM, 8, 7, 12
MM, 10, 7, 12
MM, 10, 9, 12
MM, 11, 9, 12
MM, 12, 10, 12
MM, 14, 11, 13
MM, 14, 12, 24
MC, 1, 171
MM, 13, 12, 35
MM, 10, 12, 12
MM, 7, 11, 13
MM, 33, 8, 24
MM, 22, 6, 12
MM, 10, 1, 12
MC, 1, 716
MM, 12, 20, 296
MM, 24, 20, 8
MM, 33, 21, 12
MM, 41, 21, 17
MM, 3, 23, 20
MM, 10, 23, 12
MM, 15, 23, 12
MM, 23, 24, 16
MM, 25, 24, 8
MM, 27, 25, 12
MM, 28, 25, 13
MM, 30, 25, 11
