**********************************
LOGGING TIME: 20161110_205501
CLIENT IP: 10.117.7.42
USERNAME: Renu
OS: Windows 10
*********************Neutral database**********************************
MM, 125, 13, 1477468759284
MM, 110, 1, 11
MM, 35, 31, 11
MM, 28, 21, 12
MM, 24, 15, 11
MM, 24, 12, 12
MM, 24, 8, 11
MM, 24, 6, 11
MM, 31, 1, 12
MM, 25, 30, 23
MM, 41, 31, 11
MM, 40, 24, 241
MM, 37, 5, 11
MM, 185, 12, 35
MM, 137, 27, 355
MM, 103, 13, 11
MM, 80, 2, 12
MM, 8, 16, 470
MM, 8, 15, 12
MM, 8, 14, 11
MM, 8, 13, 23
MM, 8, 11, 69
MM, 8, 9, 23
MC, 1, 379
MM, 10, 9, 45
MM, 13, 14, 11
MM, 101, 8, 35
MM, 129, 27, 24
MM, 136, 1, 630
MM, 136, 3, 11
MM, 136, 7, 12
MM, 136, 10, 11
MM, 136, 13, 12
MM, 135, 15, 34
MC, 1, 206
MM, 130, 22, 172
MM, 110, 44, 23
MM, 27, 24, 58
MM, 27, 27, 11
MM, 27, 30, 11
MM, 28, 31, 12
MC, 1, 586
MM, 181, 24, 240
MM, 204, 33, 1525
MM, 200, 59, 11
MC, 1, 769
MM, 12, 13, 103
MM, 21, 21, 11
MM, 35, 27, 12
MM, 11, 0, 46
MM, 19, 1, 11
MM, 25, 3, 12
MM, 29, 3, 11
MM, 33, 4, 11
MM, 35, 4, 12
MM, 37, 4, 11
MM, 35, 4, 230
MM, 34, 6, 11
MM, 32, 8, 11
MM, 28, 13, 12
MM, 21, 20, 11
MM, 20, 22, 12
MM, 19, 22, 11
MM, 23, 16, 218
MM, 32, 6, 11
MM, 7, 12, 35
MM, 11, 1, 11
MM, 15, 28, 12
MM, 18, 22, 11
MM, 20, 20, 12
MM, 23, 15, 11
MM, 25, 15, 12
MM, 26, 15, 11
MM, 27, 14, 12
MM, 28, 14, 22
MM, 28, 12, 13
MM, 28, 11, 11
MM, 28, 10, 12
MC, 1, 253
MM, 25, 10, 79
MM, 22, 10, 12
MM, 20, 12, 11
MM, 16, 13, 12
MM, 9, 14, 11
MM, 2, 16, 11
MM, 38, 22, 23
MM, 31, 27, 12
MM, 2, 5, 23
MM, 45, 14, 23
MM, 42, 16, 11
MM, 41, 16, 11
MM, 44, 16, 81
MM, 13, 9, 34
MM, 31, 6, 12
MM, 5, 5, 22
MM, 10, 5, 12
MM, 17, 5, 11
MM, 22, 5, 12
MM, 25, 5, 11
MM, 27, 5, 12
MM, 30, 5, 11
MM, 33, 5, 12
MM, 34, 5, 11
MM, 35, 5, 12
MM, 36, 5, 11
MM, 37, 5, 12
MM, 38, 4, 11
MM, 39, 4, 11
MM, 40, 4, 23
MM, 42, 4, 12
MM, 43, 4, 11
MM, 2, 8, 23
MM, 3, 9, 12
MM, 5, 10, 11
MM, 7, 10, 12
MM, 9, 10, 11
MM, 10, 10, 12
MM, 11, 11, 11
MM, 16, 13, 12
MM, 17, 13, 22
MM, 18, 13, 35
MM, 19, 13, 11
MM, 20, 13, 23
MC, 1, 195
MM, 18, 13, 12
MM, 14, 13, 11
MM, 6, 13, 11
MM, 35, 12, 23
MM, 20, 8, 12
MM, 10, 5, 11
MM, 0, 0, 12
MM, 38, 30, 23
MM, 33, 28, 11
MM, 28, 27, 11
MM, 19, 19, 12
MM, 13, 17, 11
MM, 4, 17, 12
MC, 1, 551
MM, 0, 9, 114
MM, 5, 9, 12
MM, 10, 9, 11
MM, 34, 9, 57
MM, 40, 9, 12
MM, 1, 10, 34
MM, 3, 11, 12
MM, 5, 11, 12
MM, 7, 11, 11
MM, 8, 11, 12
MM, 10, 11, 46
MM, 12, 11, 10
MM, 14, 11, 12
MM, 17, 11, 11
MM, 20, 11, 12
MM, 26, 9, 34
MM, 28, 9, 12
MM, 31, 9, 11
MM, 35, 9, 12
MM, 41, 11, 11
MM, 0, 13, 34
MM, 1, 13, 12
MM, 3, 13, 11
MM, 4, 14, 12
MM, 8, 14, 23
MM, 10, 14, 11
MM, 11, 14, 12
MM, 13, 14, 11
MM, 15, 14, 12
MM, 16, 14, 23
MM, 17, 14, 12
MM, 18, 14, 11
MM, 19, 14, 11
MM, 19, 13, 103
MC, 1, 35
MM, 14, 13, 34
MM, 6, 13, 12
MM, 36, 14, 23
MM, 22, 14, 12
MM, 12, 13, 11
MM, 1, 12, 12
MM, 35, 12, 11
MM, 13, 12, 12
MM, 19, 2, 68
MM, 9, 3, 12
MM, 1, 4, 11
MM, 38, 5, 69
MM, 35, 5, 11
MM, 31, 5, 12
MM, 24, 8, 11
MM, 19, 9, 12
MM, 13, 11, 10
MM, 7, 14, 13
MM, 4, 16, 11
MM, 42, 18, 46
MM, 41, 18, 12
MM, 29, 18, 79
MM, 27, 18, 12
MM, 27, 17, 12
MM, 27, 16, 114
MC, 1, 81
MM, 28, 16, 12
MM, 34, 16, 10
MM, 5, 15, 23
MM, 19, 16, 12
MM, 33, 16, 11
MM, 3, 17, 23
MM, 18, 17, 12
MM, 26, 18, 11
MM, 37, 19, 12
MM, 43, 19, 11
MM, 0, 19, 12
MM, 7, 19, 11
MM, 15, 19, 12
MM, 20, 19, 11
MM, 28, 19, 11
MM, 33, 19, 12
MM, 36, 19, 11
MM, 40, 19, 11
MM, 44, 19, 12
MM, 1, 19, 57
MM, 3, 19, 12
MM, 4, 19, 23
MM, 8, 19, 57
MM, 11, 18, 23
MM, 12, 18, 11
MM, 14, 18, 23
MM, 16, 18, 23
MM, 17, 18, 12
MM, 20, 18, 11
MC, 1, 150
MM, 20, 19, 80
MM, 20, 20, 12
MM, 20, 21, 11
MM, 19, 24, 23
MM, 19, 25, 12
MM, 19, 27, 11
MM, 19, 29, 12
MM, 19, 31, 11
MM, 20, 1, 103
MM, 20, 2, 12
MM, 20, 3, 11
MM, 20, 4, 11
MM, 20, 5, 12
MM, 20, 6, 23
MM, 20, 7, 12
MM, 20, 8, 45
MM, 20, 9, 150
MC, 1, 80
MM, 19, 9, 46
MM, 17, 7, 11
MM, 13, 7, 11
MM, 6, 3, 11
MM, 38, 0, 23
MM, 24, 30, 92
MM, 14, 30, 12
MM, 5, 30, 11
MM, 35, 30, 23
