**********************************
LOGGING TIME: 20181023_230920
CLIENT IP: 10.109.56.70
USERNAME: dell
OS: Windows 8.1
*********************Neutral database**********************************
MM, 10, 14, 1541893259194
MM, 130, 25, 488
MM, 134, 16, 8
MM, 135, 7, 7
MM, 134, 28, 16
MM, 134, 14, 8
MC, 1, 11688
MC, 1, 2839
MM, 321, 0, 21009
MM, 321, 13, 8
MM, 321, 29, 8
MM, 323, 40, 8
MM, 325, 51, 7
MM, 327, 60, 9
MM, 16, 1, 87
MM, 16, 4, 8
MM, 16, 5, 9
MM, 16, 7, 8
MM, 15, 12, 8
MM, 13, 16, 8
MM, 8, 23, 8
MM, 4, 27, 8
MM, 22, 3, 24
MM, 16, 6, 8
MM, 9, 9, 7
MM, 6, 11, 8
MM, 5, 12, 9
MM, 4, 13, 7
MM, 4, 12, 217
MM, 4, 9, 8
MM, 6, 6, 7
MM, 7, 5, 9
MM, 8, 4, 8
MM, 8, 3, 8
MM, 8, 2, 8
MM, 8, 1, 64
MM, 23, 30, 39
MM, 23, 28, 8
MM, 23, 24, 8
MM, 23, 21, 9
MM, 16, 16, 8
MM, 0, 10, 8
MM, 26, 8, 8
MM, 2, 4, 416
MM, 6, 3, 7
MM, 8, 3, 8
MM, 11, 3, 9
MM, 12, 1, 8
MM, 15, 0, 8
MM, 17, 0, 8
MM, 21, 0, 8
MM, 26, 0, 8
MM, 38, 1, 168
MM, 38, 4, 8
MM, 38, 6, 8
MM, 38, 11, 8
MM, 38, 13, 8
MM, 37, 16, 9
MM, 36, 17, 7
MC, 1, 248
MM, 39, 17, 55
MM, 43, 17, 9
MM, 7, 17, 16
MM, 18, 15, 8
MM, 32, 13, 8
MM, 17, 11, 16
MM, 36, 9, 8
MC, 1, 983
MM, 14, 11, 96
MM, 12, 24, 9
MM, 30, 0, 8
MM, 28, 14, 8
MM, 26, 28, 8
MM, 27, 3, 8
MM, 25, 16, 8
MM, 23, 30, 8
MM, 16, 31, 311
MM, 16, 25, 9
MM, 16, 20, 8
MM, 16, 16, 8
MM, 16, 14, 8
MM, 16, 11, 8
MM, 16, 10, 8
MM, 16, 9, 8
MM, 16, 8, 8
MC, 1, 240
MM, 14, 8, 144
MM, 9, 8, 8
MM, 33, 8, 16
MM, 20, 8, 8
MM, 13, 6, 8
MM, 4, 2, 8
MM, 25, 31, 56
MM, 21, 30, 8
MM, 16, 27, 8
MM, 14, 25, 8
MM, 7, 24, 7
MM, 3, 22, 8
MM, 0, 21, 9
MM, 41, 15, 16
MM, 35, 12, 8
MM, 31, 9, 8
MM, 24, 6, 8
MM, 15, 2, 7
MM, 7, 31, 41
MM, 5, 30, 8
MM, 3, 30, 144
MM, 2, 30, 8
MM, 0, 27, 8
MC, 1, 471
MM, 5, 7, 138
MM, 12, 11, 7
MM, 18, 14, 8
MM, 25, 17, 8
MM, 29, 20, 8
MM, 32, 21, 8
MM, 35, 23, 8
MM, 36, 24, 8
MM, 37, 24, 8
MM, 38, 24, 8
MM, 37, 21, 209
MM, 37, 20, 7
MC, 1, 152
MM, 34, 20, 16
MM, 30, 20, 8
MM, 22, 19, 8
MM, 5, 17, 8
MM, 42, 14, 8
MM, 28, 13, 8
MM, 20, 11, 8
MM, 11, 7, 8
MM, 2, 5, 8
MM, 40, 4, 16
MM, 33, 1, 8
MC, 1, 600
MM, 21, 3, 144
MM, 26, 10, 8
MM, 30, 16, 8
MM, 33, 23, 8
MM, 38, 30, 8
MM, 4, 18, 24
MM, 8, 24, 8
MM, 11, 31, 8
MM, 60, 1, 16
MM, 63, 6, 8
MM, 65, 8, 8
MM, 66, 9, 8
MM, 68, 11, 8
MM, 70, 13, 7
MM, 70, 15, 8
MM, 71, 16, 9
MM, 72, 17, 8
MM, 73, 17, 16
MM, 74, 17, 8
MC, 1, 256
MM, 69, 17, 39
MM, 62, 13, 9
MM, 53, 6, 7
MM, 38, 26, 17
MM, 26, 16, 8
MM, 16, 8, 8
MM, 12, 4, 8
MM, 43, 28, 31
MM, 40, 26, 8
MM, 39, 25, 8
MM, 38, 24, 8
MM, 37, 23, 9
MM, 34, 20, 8
MM, 33, 19, 8
MM, 29, 18, 8
MM, 25, 17, 8
MM, 24, 17, 8
MM, 21, 15, 8
MM, 17, 14, 8
MM, 12, 12, 8
MM, 8, 9, 8
MM, 3, 6, 8
MM, 1, 5, 8
MM, 42, 1, 23
MM, 41, 0, 9
MC, 1, 591
MM, 31, 9, 505
MM, 22, 10, 8
MM, 16, 12, 8
MM, 10, 15, 8
MM, 5, 17, 8
MM, 3, 17, 8
MM, 0, 17, 8
MM, 34, 19, 80
MM, 33, 19, 8
MM, 31, 19, 8
MC, 1, 280
MM, 29, 19, 31
MM, 25, 19, 9
MM, 17, 19, 8
MM, 3, 19, 8
MM, 34, 19, 8
MM, 21, 19, 8
MM, 8, 19, 8
MM, 33, 19, 15
MM, 25, 19, 9
MM, 17, 19, 8
MM, 11, 19, 7
MM, 3, 19, 8
MM, 42, 19, 9
MM, 34, 19, 8
MM, 25, 21, 8
MM, 19, 22, 8
MM, 13, 22, 8
MM, 3, 22, 8
MC, 1, 1151
MM, 11, 29, 105
MM, 28, 31, 7
MM, 36, 1, 41
MM, 3, 3, 16
MM, 11, 3, 8
MM, 19, 3, 8
MM, 25, 3, 8
MM, 29, 3, 8
MM, 35, 3, 8
MM, 40, 3, 8
MM, 42, 3, 8
MM, 0, 3, 72
MM, 2, 3, 112
MM, 4, 3, 8
MM, 6, 3, 8
MM, 9, 3, 8
MM, 12, 3, 8
MM, 14, 3, 7
MM, 15, 3, 8
MM, 16, 3, 9
MM, 18, 3, 8
MM, 18, 4, 8
MM, 18, 5, 8
MM, 19, 5, 8
MM, 20, 5, 8
MC, 1, 216
MM, 18, 7, 15
