**********************************
LOGGING TIME: 20180909_050624
CLIENT IP: 127.0.1.1
USERNAME: dell
OS: Linux
*********************Neutral database**********************************
MM, 43, 0, 1537598292265
MM, 41, 0, 16
MM, 40, 0, 72
MM, 5, 22, 168
MM, 41, 8, 8
MM, 59, 57, 16
MM, 44, 42, 8
MM, 29, 24, 8
MM, 13, 6, 8
MM, 55, 22, 168
MM, 53, 11, 8
MM, 51, 1, 8
MM, 48, 26, 16
MM, 48, 13, 8
MM, 48, 2, 8
MM, 85, 1, 9216
MM, 84, 3, 8
MM, 82, 6, 8
MM, 80, 10, 8
MM, 79, 13, 8
MM, 77, 17, 8
MM, 76, 18, 8
MM, 75, 21, 8
MM, 74, 23, 8
MM, 71, 27, 8
MM, 70, 0, 312
MM, 71, 1, 32
MM, 72, 1, 32
MM, 73, 2, 16
MM, 73, 3, 64
MM, 73, 4, 40
MM, 73, 5, 40
MM, 72, 6, 8
MM, 72, 8, 24
MM, 71, 10, 16
MC, 1, 392
MM, 71, 11, 4056
MM, 72, 14, 8
MM, 80, 19, 8
MM, 90, 23, 8
MM, 109, 30, 8
MM, 60, 26, 640
MM, 60, 24, 16
MM, 60, 23, 8
MM, 60, 22, 16
MM, 60, 21, 16
MM, 61, 20, 8
MM, 62, 19, 8
MM, 62, 18, 8
MM, 63, 16, 16
MM, 64, 13, 8
MM, 65, 12, 8
MM, 86, 20, 2584
MM, 93, 14, 16
MP, 1, 904
MR, 1, 64
MC, 1, 0
MC, 1, 792
MM, 189, 0, 28504
MM, 178, 4, 8
MM, 168, 9, 8
MM, 159, 13, 8
MM, 154, 16, 8
MM, 150, 17, 8
MM, 149, 18, 8
MM, 146, 20, 8
MM, 143, 21, 8
MM, 139, 22, 8
MM, 137, 23, 8
MM, 135, 25, 8
MM, 134, 25, 8
MM, 132, 26, 8
MM, 131, 27, 8
MM, 128, 28, 8
MM, 127, 28, 8
MM, 125, 30, 8
MM, 124, 30, 8
MM, 122, 31, 8
MM, 119, 32, 8
MM, 116, 34, 8
MM, 112, 37, 8
MM, 109, 38, 8
MM, 106, 40, 8
MM, 104, 41, 8
MM, 102, 42, 8
MM, 99, 43, 8
MM, 97, 45, 8
MM, 94, 47, 8
MM, 92, 48, 8
MM, 88, 50, 8
MM, 86, 51, 8
MM, 83, 52, 8
MM, 82, 52, 8
MM, 81, 53, 8
MM, 79, 53, 16
MM, 77, 55, 16
MM, 76, 54, 104
MM, 75, 53, 16
MM, 75, 51, 16
MM, 75, 50, 8
MM, 75, 49, 8
MM, 74, 48, 8
MM, 73, 47, 16
MC, 1, 120
MM, 72, 47, 88
MM, 71, 47, 16
MM, 69, 47, 16
MM, 68, 47, 8
MM, 67, 48, 8
MM, 65, 49, 8
MM, 63, 51, 8
MM, 62, 52, 8
MM, 58, 54, 8
MM, 56, 56, 8
MM, 54, 57, 8
MM, 51, 58, 8
MM, 48, 60, 8
MM, 47, 61, 8
MM, 45, 62, 8
